iter	RMSE
0	11129.69338
1	10306.11835
2	9560.138057
3	8952.935993
4	8374.63722
5	7949.3677
6	7522.099017
7	7191.429992
8	6899.969574
9	6554.685171
10	6271.587826
11	6068.560143
12	5860.717868
13	5700.410096
14	5534.103045
15	5383.853654
16	5281.234613
17	5204.407483
18	5121.702682
19	5031.898933
20	4977.030082
21	4922.572764
22	4871.868673
23	4824.349172
24	4785.207979
25	4758.038361
26	4736.557058
27	4718.709429
28	4691.482935
29	4672.886453
30	4660.867151
31	4649.146065
32	4637.457907
33	4629.483395
34	4620.18002
35	4601.31262
36	4593.685468
37	4583.926998
38	4577.736967
39	4567.191313
40	4561.139965
41	4552.842602
42	4547.500893
43	4539.957585
44	4532.032952
45	4528.497572
46	4522.989753
47	4520.252526
48	4512.061488
49	4505.89941
50	4502.703011
51	4500.19794
52	4496.27462
53	4487.786468
54	4485.063485
55	4481.853416
56	4479.502628
57	4476.616308
58	4474.222676
59	4470.391627
60	4468.491673
61	4467.21723
62	4461.555148
63	4459.160411
64	4456.104743
65	4450.904712
66	4449.220894
67	4447.932806
68	4446.625502
69	4443.538928
70	4440.958734
71	4439.012081
72	4435.722011
73	4429.744693
74	4426.79669
75	4420.689281
76	4418.884668
77	4417.705055
78	4416.523422
79	4415.154957
80	4410.213329
81	4406.111451
82	4401.06424
83	4399.009531
84	4397.775462
85	4395.553578
86	4390.057975
87	4387.12733
88	4385.413446
89	4384.523285
90	4383.133508
91	4380.906969
92	4377.781091
93	4374.095478
94	4371.947919
95	4366.307103
96	4361.8748
97	4358.884597
98	4356.016636
99	4352.834176
