iter	Passed	Remaining
0	142	14146
1	143	7012
2	143	4634
3	143	3444
4	143	2732
5	143	2255
6	144	1915
7	144	1660
8	144	1462
9	144	1303
10	144	1173
11	145	1064
12	145	972
13	145	894
14	145	826
15	145	766
16	146	713
17	146	666
18	146	624
19	146	587
20	146	552
21	147	521
22	147	493
23	147	467
24	147	443
25	147	421
26	148	400
27	148	381
28	148	363
29	148	347
30	148	331
31	149	316
32	149	303
33	149	290
34	149	278
35	149	266
36	150	255
37	150	245
38	150	235
39	150	226
40	150	217
41	151	208
42	151	200
43	151	192
44	151	185
45	151	178
46	152	171
47	152	164
48	152	158
49	152	152
50	152	146
51	153	141
52	153	135
53	153	130
54	153	125
55	153	120
56	153	116
57	154	111
58	154	107
59	154	103
60	154	98
61	154	94
62	155	91
63	155	87
64	155	83
65	155	80
66	155	76
67	156	73
68	156	70
69	157	67
70	157	64
71	158	61
72	158	58
73	159	55
74	159	53
75	160	50
76	161	48
77	161	45
78	162	43
79	162	40
80	163	38
81	163	35
82	163	33
83	163	31
84	164	29
85	164	26
86	165	24
87	165	22
88	166	20
89	166	18
90	166	16
91	166	14
92	166	12
93	167	10
94	167	8
95	167	6
96	168	5
97	168	3
98	168	1
99	169	0
