iter	RMSE
0	11111.02746
1	10314.95721
2	9598.329674
3	9037.703084
4	8423.961062
5	7882.797614
6	7420.698939
7	7041.27473
8	6721.567085
9	6408.747787
10	6148.199473
11	5949.408682
12	5751.10873
13	5589.319742
14	5466.943013
15	5337.580345
16	5241.553975
17	5138.087831
18	5049.541895
19	4992.31195
20	4926.951248
21	4874.746553
22	4835.148816
23	4801.407144
24	4758.407339
25	4738.68913
26	4716.466987
27	4689.796256
28	4662.071667
29	4643.289985
30	4619.394017
31	4604.3932
32	4592.120219
33	4574.439437
34	4565.548282
35	4545.879208
36	4539.188294
37	4523.786328
38	4515.505113
39	4505.60223
40	4495.150581
41	4482.930498
42	4476.568845
43	4467.827217
44	4460.66309
45	4455.764877
46	4451.895871
47	4444.372371
48	4437.641714
49	4433.329734
50	4427.239219
51	4423.676116
52	4419.925339
53	4415.524703
54	4411.426475
55	4407.897597
56	4405.199266
57	4403.668241
58	4398.558267
59	4392.134878
60	4389.26696
61	4383.619807
62	4380.181155
63	4375.29451
64	4369.388393
65	4364.112848
66	4361.934112
67	4357.250805
68	4354.873895
69	4351.856658
70	4349.040644
71	4346.569386
72	4341.916037
73	4338.894398
74	4336.745364
75	4334.738142
76	4333.438037
77	4331.502275
78	4328.692
79	4327.009334
80	4325.664645
81	4323.722296
82	4322.067471
83	4319.314978
84	4317.367891
85	4315.512367
86	4309.729814
87	4306.268943
88	4302.528812
89	4299.343174
90	4298.042573
91	4292.973845
92	4290.536579
93	4287.491003
94	4283.385914
95	4281.044553
96	4279.217868
97	4275.834048
98	4273.605312
99	4272.445641
