iter	Passed	Remaining
0	0	41
1	0	39
2	1	36
3	1	33
4	1	32
5	2	38
6	3	47
7	4	46
8	4	46
9	5	48
10	6	54
11	7	54
12	7	53
13	8	52
14	9	55
15	10	52
16	10	53
17	13	60
18	13	57
19	13	55
20	14	53
21	14	51
22	14	49
23	14	47
24	15	45
25	15	44
26	16	43
27	16	43
28	17	43
29	18	42
30	18	42
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	22	39
37	23	38
38	24	38
39	25	38
40	26	37
41	26	37
42	28	37
43	28	36
44	29	35
45	30	35
46	32	36
47	32	35
48	33	34
49	33	33
50	34	32
51	34	31
52	34	30
53	35	29
54	35	28
55	35	27
56	35	27
57	36	26
58	36	25
59	36	24
60	36	23
61	37	22
62	37	22
63	37	21
64	38	20
65	38	19
66	38	19
67	38	18
68	39	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
